"name"	"description"
"with_uniprot_gn"	"With UniProtKB Gene Name ID(s)"
"with_uniprot_isoform"	"With UniProtKB isoform ID(s)"
"with_uniprotswissprot"	"With UniProtKB/Swiss-Prot ID(s)"
"with_uniprotsptrembl"	"With UniProtKB/TrEMBL ID(s)"
"with_wikigene"	"With WikiGene ID(s)"
"ensembl_gene_id"	"Gene stable ID(s) [e.g. ENSG00000000003]"
"ensembl_gene_id_version"	"Gene stable ID(s) with version [e.g. ENSG00000000003.15]"
"ensembl_transcript_id"	"Transcript stable ID(s) [e.g. ENST00000000233]"
"ensembl_transcript_id_version"	"Transcript stable ID(s) with version [e.g. ENST00000000233.10]"
"ensembl_peptide_id"	"Protein stable ID(s) [e.g. ENSP00000000233]"
"ensembl_peptide_id_version"	"Protein stable ID(s) with version [e.g. ENSP00000000233.5]"
"ensembl_exon_id"	"Exon ID(s) [e.g. ENSE00000000003]"
"external_gene_name"	"Gene Name(s) [e.g. MT-TF]"
"external_transcript_name"	"Transcript Name(s) [e.g. MT-TF-201]"
"external_synonym"	"Gene Synonym(s) [e.g. 0808y08y]"
"ccds"	"CCDS ID(s) [e.g. CCDS10]"
"chembl"	"ChEMBL ID(s) [e.g. CHEMBL1075092]"
"clone_based_ensembl_gene"	"Clone-based (Ensembl) gene ID(s) [e.g. ABBA01000933.1]"
"clone_based_ensembl_transcript"	"Clone-based (Ensembl) transcript ID(s) [e.g. ABBA01000933.1-201]"
"dbass3_name"	"DataBase of Aberrant 3' Splice Sites name(s) [e.g. ABCA1]"
"dbass3_id"	"DataBase of Aberrant 3' Splice Sites ID(s) [e.g. 1]"
"dbass5_name"	"DataBase of Aberrant 5' Splice Sites name(s) [e.g. AAAS]"
"dbass5_id"	"DataBase of Aberrant 5' Splice Sites ID(s) [e.g. 1]"
"entrezgene_trans_name"	"EntrezGene transcript name ID(s) [e.g. AA06-201]"
"embl"	"European Nucleotide Archive ID(s) [e.g. A06800]"
"arrayexpress"	"Expression Atlas ID(s) [e.g. ENSG00000000003]"
"genedb"	"GeneDB ID(s) [e.g. Smp_009580.1:pep]"
"go"	"GO ID(s) [e.g. GO:0000002]"
"goslim_goa"	"GOSlim GOA ID(s) [e.g. GO:0000003]"
"hgnc_id"	"HGNC ID(s) [e.g. HGNC:100]"
"hgnc_symbol"	"HGNC symbol(s) [e.g. A1BG]"
"hpa_accession"	"Human Protein Atlas accession(s) [e.g. CAB000001]"
"hpa_id"	"Human Protein Atlas ID(s) [e.g. 1]"
"protein_id"	"INSDC protein ID(s) [e.g. AAA02489]"
"kegg_enzyme"	"KEGG Pathway and Enzyme ID(s) [e.g. 00010+1.1.1.1]"
"ens_lrg_gene"	"LRG display in Ensembl gene ID(s) [e.g. LRG_1]"
"ens_lrg_transcript"	"LRG display in Ensembl transcript ID(s) [e.g. LRG_1008t1]"
"merops"	"MEROPS - the Peptidase Database ID(s) [e.g. A01.001]"
"mim_gene_accession"	"MIM gene accession(s) [e.g. 100640]"
"mim_morbid_accession"	"MIM morbid accession(s) [e.g. 100100]"
"mirbase_accession"	"miRBase accession(s) [e.g. MI0000060]"
"mirbase_id"	"miRBase ID(s) [e.g. hsa-let-7a-1]"
"mirbase_trans_name"	"miRBase transcript name ID(s) [e.g. hsa-mir-1253.1-201]"
"entrezgene_accession"	"NCBI gene (formerly Entrezgene) accession(s) [e.g. A1BG]"
"entrezgene_id"	"NCBI gene (formerly Entrezgene) ID(s) [e.g. 1]"
"pdb"	"PDB ID(s) [e.g. 10GS]"
"reactome"	"Reactome ID(s) [e.g. R-HSA-1059683]"
"reactome_gene"	"Reactome gene ID(s) [e.g. R-HSA-1059683]"
"reactome_transcript"	"Reactome transcript ID(s) [e.g. R-HSA-1059683]"
"refseq_mrna"	"RefSeq mRNA ID(s) [e.g. NM_000014]"
"refseq_mrna_predicted"	"RefSeq mRNA predicted ID(s) [e.g. XM_003118719]"
"refseq_ncrna"	"RefSeq ncRNA ID(s) [e.g. NR_000005]"
"refseq_ncrna_predicted"	"RefSeq ncRNA predicted ID(s) [e.g. XR_001736900]"
"refseq_peptide"	"RefSeq peptide ID(s) [e.g. NP_000005]"
"refseq_peptide_predicted"	"RefSeq peptide predicted ID(s) [e.g. XP_003118767]"
"rfam"	"RFAM ID(s) [e.g. RF00001]"
"rfam_trans_name"	"RFAM transcript name ID(s) [e.g. 5S_rRNA.1-201]"
"rnacentral"	"RNAcentral ID(s) [e.g. URS0000000055]"
"hgnc_trans_name"	"Transcript name ID(s) [e.g. A1BG-201]"
"ucsc"	"UCSC Stable ID(s) [e.g. uc001aak.4]"
"uniparc"	"UniParc ID(s) [e.g. UPI000000003C]"
"uniprot_gn_symbol"	"UniProtKB Gene Name symbol(s) [e.g. 5HT1A]"
"uniprot_gn_id"	"UniProtKB Gene Name ID(s) [e.g. A0A023T6R1]"
"uniprot_isoform"	"UniProtKB isoform ID(s) [e.g. A0A096LP49-1]"
"uniprotswissprot"	"UniProtKB/Swiss-Prot ID(s) [e.g. A0A024RBG1]"
"uniprotsptrembl"	"UniProtKB/TrEMBL ID(s) [e.g. A0A023T6R1]"
"wikigene_name"	"WikiGene name(s) [e.g. A1BG]"
"wikigene_id"	"WikiGene ID(s) [e.g. 1]"
"with_affy_hc_g110"	"With AFFY HC G110 probe ID(s)"
"with_affy_hg_focus"	"With AFFY HG Focus probe ID(s)"
"with_affy_hg_u133a"	"With AFFY HG U133A probe ID(s)"
"with_affy_hg_u133a_2"	"With AFFY HG U133A 2 probe ID(s)"
"with_affy_hg_u133b"	"With AFFY HG U133B probe ID(s)"
"with_affy_hg_u133_plus_2"	"With AFFY HG U133 Plus 2 probe ID(s)"
"with_affy_hg_u95a"	"With AFFY HG U95A probe ID(s)"
"with_affy_hg_u95av2"	"With AFFY HG U95Av2 probe ID(s)"
"with_affy_hg_u95b"	"With AFFY HG U95B probe ID(s)"
"with_affy_hg_u95c"	"With AFFY HG U95C probe ID(s)"
"with_affy_hg_u95d"	"With AFFY HG U95D probe ID(s)"
"with_affy_hg_u95e"	"With AFFY HG U95E probe ID(s)"
"with_affy_hta_2_0"	"With AFFY HTA 2 0 probe ID(s)"
"with_affy_huex_1_0_st_v2"	"With AFFY HuEx 1 0 st v2 probe ID(s)"
"with_affy_hugenefl"	"With AFFY HuGeneFL probe ID(s)"
"with_affy_hugene_1_0_st_v1"	"With AFFY HuGene 1 0 st v1 probe ID(s)"
"with_affy_hugene_2_0_st_v1"	"With AFFY HuGene 2 0 st v1 probe ID(s)"
"with_affy_primeview"	"With AFFY PrimeView probe ID(s)"
"with_affy_u133_x3p"	"With AFFY U133 X3P probe ID(s)"
"with_agilent_cgh_44b"	"With AGILENT CGH 44b probe ID(s)"
"with_agilent_gpl6848"	"With AGILENT GPL6848 probe ID(s)"
"with_agilent_sureprint_g3_ge_8x60k"	"With AGILENT SurePrint G3 GE 8x60k probe ID(s)"
"with_agilent_sureprint_g3_ge_8x60k_v2"	"With AGILENT SurePrint G3 GE 8x60k v2 probe ID(s)"
"with_agilent_wholegenome"	"With AGILENT WholeGenome probe ID(s)"
"with_agilent_wholegenome_4x44k_v1"	"With AGILENT WholeGenome 4x44k v1 probe ID(s)"
"with_agilent_wholegenome_4x44k_v2"	"With AGILENT WholeGenome 4x44k v2 probe ID(s)"
"with_codelink_codelink"	"With CODELINK CODELINK probe ID(s)"
"with_illumina_humanht_12_v3"	"With ILLUMINA HumanHT 12 V3 probe ID(s)"
"with_illumina_humanht_12_v4"	"With ILLUMINA HumanHT 12 V4 probe ID(s)"
"with_illumina_humanref_8_v3"	"With ILLUMINA HumanRef 8 V3 probe ID(s)"
"with_illumina_humanwg_6_v1"	"With ILLUMINA HumanWG 6 V1 probe ID(s)"
"with_illumina_humanwg_6_v2"	"With ILLUMINA HumanWG 6 V2 probe ID(s)"
"with_illumina_humanwg_6_v3"	"With ILLUMINA HumanWG 6 V3 probe ID(s)"
"with_phalanx_onearray"	"With PHALANX OneArray probe ID(s)"
"affy_hc_g110"	"AFFY HC G110 probe ID(s) [e.g. 737_at]"
"affy_hg_focus"	"AFFY HG Focus probe ID(s) [e.g. 220771_at]"
"affy_hg_u133a"	"AFFY HG U133A probe ID(s) [e.g. 211600_at]"
"affy_hg_u133a_2"	"AFFY HG U133A 2 probe ID(s) [e.g. 211600_at]"
"affy_hg_u133b"	"AFFY HG U133B probe ID(s) [e.g. 224372_at]"
"affy_hg_u133_plus_2"	"AFFY HG U133 Plus 2 probe ID(s) [e.g. 1553551_s_at]"
"affy_hg_u95a"	"AFFY HG U95A probe ID(s) [e.g. 34279_at]"
"affy_hg_u95av2"	"AFFY HG U95Av2 probe ID(s) [e.g. 34279_at]"
"affy_hg_u95b"	"AFFY HG U95B probe ID(s) [e.g. 49072_at]"
"affy_hg_u95c"	"AFFY HG U95C probe ID(s) [e.g. 66072_at]"
"affy_hg_u95d"	"AFFY HG U95D probe ID(s) [e.g. 76451_at]"
"affy_hg_u95e"	"AFFY HG U95E probe ID(s) [e.g. 88289_at]"
"affy_hta_2_0"	"AFFY HTA 2 0 probe ID(s) [e.g. TC0M000002.hg]"
"affy_huex_1_0_st_v2"	"AFFY HuEx 1 0 st v2 probe ID(s) [e.g. 2864632]"
"affy_hugenefl"	"AFFY HuGeneFL probe ID(s) [e.g. Z70759_at]"
"affy_hugene_1_0_st_v1"	"AFFY HuGene 1 0 st v1 probe ID(s) [e.g. 7946565]"
"affy_hugene_2_0_st_v1"	"AFFY HuGene 2 0 st v1 probe ID(s) [e.g. 17100641]"
"affy_primeview"	"AFFY PrimeView probe ID(s) [e.g. 11761516_x_at]"
"affy_u133_x3p"	"AFFY U133 X3P probe ID(s) [e.g. 1553551_3p_s_at]"
"agilent_cgh_44b"	"AGILENT CGH 44b probe ID(s) [e.g. A_14_P135019]"
"agilent_gpl6848"	"AGILENT GPL6848 probe ID(s) [e.g. A_24_P179339]"
"agilent_sureprint_g3_ge_8x60k"	"AGILENT SurePrint G3 GE 8x60k probe ID(s) [e.g. A_24_P182122]"
"agilent_sureprint_g3_ge_8x60k_v2"	"AGILENT SurePrint G3 GE 8x60k v2 probe ID(s) [e.g. A_24_P182122]"
"agilent_wholegenome"	"AGILENT WholeGenome probe ID(s) [e.g. A_24_P42453]"
"agilent_wholegenome_4x44k_v1"	"AGILENT WholeGenome 4x44k v1 probe ID(s) [e.g. A_24_P179339]"
"agilent_wholegenome_4x44k_v2"	"AGILENT WholeGenome 4x44k v2 probe ID(s) [e.g. A_24_P182122]"
"codelink_codelink"	"CODELINK CODELINK probe ID(s) [e.g. GE84207]"
"illumina_humanht_12_v3"	"ILLUMINA HumanHT 12 V3 probe ID(s) [e.g. ILMN_2295987]"
"illumina_humanht_12_v4"	"ILLUMINA HumanHT 12 V4 probe ID(s) [e.g. ILMN_3308961]"
"illumina_humanref_8_v3"	"ILLUMINA HumanRef 8 V3 probe ID(s) [e.g. ILMN_2295987]"
"illumina_humanwg_6_v1"	"ILLUMINA HumanWG 6 V1 probe ID(s) [e.g. 0005910053]"
"illumina_humanwg_6_v2"	"ILLUMINA HumanWG 6 V2 probe ID(s) [e.g. ILMN_1779625]"
"illumina_humanwg_6_v3"	"ILLUMINA HumanWG 6 V3 probe ID(s) [e.g. ILMN_2295987]"
"phalanx_onearray"	"PHALANX OneArray probe ID(s) [e.g. PH_hs_0036541]"
"transcript_count_greater_than"	"Transcript count >="
"transcript_count_less_than"	"Transcript count <="
"biotype"	"Type"
"transcript_biotype"	"Transcript Type"
"source"	"Source (gene)"
"transcript_source"	"Source (transcript)"
"transcript_tsl"	"Transcript Support Level (TSL)"
"transcript_gencode_basic"	"GENCODE basic annotation"
"transcript_appris"	"APPRIS annotation"
"mane_select"	"MANE Select transcript"
"phenotype_description"	"Phenotype description"
"phenotype_source"	"Phenotype source"
"go_parent_term"	"Parent term accession"
"go_parent_name"	"Parent term name"
"go_evidence_code"	"GO Evidence code"
"with_hsapiens_paralog"	"Paralogous Human Genes"
"with_cabingdonii_homolog"	"Orthologous Abingdon island giant tortoise Genes"
"with_gagassizii_homolog"	"Orthologous Agassiz's desert tortoise Genes"
"with_mspretus_homolog"	"Orthologous Algerian mouse Genes"
"with_vpacos_homolog"	"Orthologous Alpaca Genes"
"with_mmmarmota_homolog"	"Orthologous Alpine marmot Genes"
"with_pformosa_homolog"	"Orthologous Amazon molly Genes"
"with_ccanadensis_homolog"	"Orthologous American beaver Genes"
"with_bbbison_homolog"	"Orthologous American bison Genes"
"with_uamericanus_homolog"	"Orthologous American black bear Genes"
"with_nvison_homolog"	"Orthologous American mink Genes"
"with_capalliatus_homolog"	"Orthologous Angola colobus Genes"
"with_acarolinensis_homolog"	"Orthologous Anole lizard Genes"
"with_cdromedarius_homolog"	"Orthologous Arabian camel Genes"
"with_smerianae_homolog"	"Orthologous Argentine black and white tegu Genes"
"with_dnovemcinctus_homolog"	"Orthologous Armadillo Genes"
"with_sformosus_homolog"	"Orthologous Asian bonytongue Genes"
"with_charengus_homolog"	"Orthologous Atlantic herring Genes"
"with_ssalar_homolog"	"Orthologous Atlantic salmon Genes"
"with_cporosus_homolog"	"Orthologous Australian saltwater crocodile Genes"
"with_lbergylta_homolog"	"Orthologous Ballan wrasse Genes"
"with_lcalcarifer_homolog"	"Orthologous Barramundi perch Genes"
"with_lsdomestica_homolog"	"Orthologous Bengalese finch Genes"
"with_rbieti_homolog"	"Orthologous Black snub-nosed monkey Genes"
"with_oaureus_homolog"	"Orthologous Blue tilapia Genes"
"with_gwilldenowi_homolog"	"Orthologous Blunt-snouted clingfish Genes"
"with_sbboliviensis_homolog"	"Orthologous Bolivian squirrel monkey Genes"
"with_ppaniscus_homolog"	"Orthologous Bonobo Genes"
"with_caperea_homolog"	"Orthologous Brazilian guinea pig Genes"
"with_strutta_homolog"	"Orthologous Brown trout Genes"
"with_mundulatus_homolog"	"Orthologous Budgerigar Genes"
"with_hburtoni_homolog"	"Orthologous Burton's mouthbrooder Genes"
"with_ogarnettii_homolog"	"Orthologous Bushbaby Genes"
"with_cintestinalis_homolog"	"Orthologous C.intestinalis Genes"
"with_csavignyi_homolog"	"Orthologous C.savignyi Genes"
"with_celegans_homolog"	"Orthologous Caenorhabditis elegans Genes"
"with_lcanadensis_homolog"	"Orthologous Canada lynx Genes"
"with_ccapucinus_homolog"	"Orthologous Capuchin Genes"
"with_fcatus_homolog"	"Orthologous Cat Genes"
"with_pvitticeps_homolog"	"Orthologous Central bearded dragon Genes"
"with_cgobio_homolog"	"Orthologous Channel bull blenny Genes"
"with_ipunctatus_homolog"	"Orthologous Channel catfish Genes"
"with_ggallus_homolog"	"Orthologous Chicken Genes"
"with_ptroglodytes_homolog"	"Orthologous Chimpanzee Genes"
"with_cgchok1gshd_homolog"	"Orthologous Chinese hamster CHOK1GS Genes"
"with_cgcrigri_homolog"	"Orthologous Chinese hamster CriGri Genes"
"with_cgpicr_homolog"	"Orthologous Chinese hamster PICR Genes"
"with_psinensis_homolog"	"Orthologous Chinese softshell turtle Genes"
"with_atestudineus_homolog"	"Orthologous Climbing perch Genes"
"with_gmorhua_homolog"	"Orthologous Cod Genes"
"with_lchalumnae_homolog"	"Orthologous Coelacanth Genes"
"with_scanaria_homolog"	"Orthologous Common canary Genes"
"with_ccarpio_homolog"	"Orthologous Common carp Genes"
"with_vursinus_homolog"	"Orthologous Common wombat Genes"
"with_pcoquereli_homolog"	"Orthologous Coquerel's sifaka Genes"
"with_btaurus_homolog"	"Orthologous Cow Genes"
"with_mfascicularis_homolog"	"Orthologous Crab-eating macaque Genes"
"with_fdamarensis_homolog"	"Orthologous Damara mole rat Genes"
"with_jhyemalis_homolog"	"Orthologous Dark-eyed junco Genes"
"with_odegus_homolog"	"Orthologous Degu Genes"
"with_dclupeoides_homolog"	"Orthologous Denticle herring Genes"
"with_cldingo_homolog"	"Orthologous Dingo Genes"
"with_clfamiliaris_homolog"	"Orthologous Dog Genes"
"with_ttruncatus_homolog"	"Orthologous Dolphin Genes"
"with_bgrunniens_homolog"	"Orthologous Domestic yak Genes"
"with_eaasinus_homolog"	"Orthologous Donkey Genes"
"with_mleucophaeus_homolog"	"Orthologous Drill Genes"
"with_dmelanogaster_homolog"	"Orthologous Drosophila melanogaster Genes"
"with_applatyrhynchos_homolog"	"Orthologous Duck Genes"
"with_acalliptera_homolog"	"Orthologous Eastern happy Genes"
"with_eelectricus_homolog"	"Orthologous Electric eel Genes"
"with_lafricana_homolog"	"Orthologous Elephant Genes"
"with_dnovaehollandiae_homolog"	"Orthologous Emu Genes"
"with_dlabrax_homolog"	"Orthologous European seabass Genes"
"with_mpfuro_homolog"	"Orthologous Ferret Genes"
"with_falbicollis_homolog"	"Orthologous Flycatcher Genes"
"with_trubripes_homolog"	"Orthologous Fugu Genes"
"with_tgelada_homolog"	"Orthologous Gelada Genes"
"with_nleucogenys_homolog"	"Orthologous Gibbon Genes"
"with_saurata_homolog"	"Orthologous Gilthead seabream Genes"
"with_chircus_homolog"	"Orthologous Goat Genes"
"with_mauratus_homolog"	"Orthologous Golden Hamster Genes"
"with_acchrysaetos_homolog"	"Orthologous Golden eagle Genes"
"with_rroxellana_homolog"	"Orthologous Golden snub-nosed monkey Genes"
"with_mvitellinus_homolog"	"Orthologous Golden-collared manakin Genes"
"with_ggorilla_homolog"	"Orthologous Gorilla Genes"
"with_sdumerili_homolog"	"Orthologous Greater amberjack Genes"
"with_psimus_homolog"	"Orthologous Greater bamboo lemur Genes"
"with_rferrumequinum_homolog"	"Orthologous Greater horseshoe bat Genes"
"with_cporcellus_homolog"	"Orthologous Guinea Pig Genes"
"with_preticulata_homolog"	"Orthologous Guppy Genes"
"with_eburgeri_homolog"	"Orthologous Hagfish Genes"
"with_eeuropaeus_homolog"	"Orthologous Hedgehog Genes"
"with_ecaballus_homolog"	"Orthologous Horse Genes"
"with_hhucho_homolog"	"Orthologous Huchen Genes"
"with_bihybrid_homolog"	"Orthologous Hybrid - Bos Indicus Genes"
"with_bthybrid_homolog"	"Orthologous Hybrid - Bos Taurus Genes"
"with_pcapensis_homolog"	"Orthologous Hyrax Genes"
"with_pranga_homolog"	"Orthologous Indian glassy fish Genes"
"with_omelastigma_homolog"	"Orthologous Indian medaka Genes"
"with_olhni_homolog"	"Orthologous Japanese medaka HNI Genes"
"with_olhsok_homolog"	"Orthologous Japanese medaka HSOK Genes"
"with_olatipes_homolog"	"Orthologous Japanese medaka HdrR Genes"
"with_cjaponica_homolog"	"Orthologous Japanese quail Genes"
"with_sfasciatus_homolog"	"Orthologous Jewelled blenny Genes"
"with_shabroptila_homolog"	"Orthologous Kakapo Genes"
"with_dordii_homolog"	"Orthologous Kangaroo rat Genes"
"with_pcinereus_homolog"	"Orthologous Koala Genes"
"with_pmarinus_homolog"	"Orthologous Lamprey Genes"
"with_lcrocea_homolog"	"Orthologous Large yellow croaker Genes"
"with_ppardus_homolog"	"Orthologous Leopard Genes"
"with_jjaculus_homolog"	"Orthologous Lesser Egyptian jerboa Genes"
"with_etelfairi_homolog"	"Orthologous Lesser hedgehog tenrec Genes"
"with_enaucrates_homolog"	"Orthologous Live sharksucker Genes"
"with_clanigera_homolog"	"Orthologous Long-tailed chinchilla Genes"
"with_nbrichardi_homolog"	"Orthologous Lyretail cichlid Genes"
"with_anancymaae_homolog"	"Orthologous Ma's night monkey Genes"
"with_mmulatta_homolog"	"Orthologous Macaque Genes"
"with_pnyererei_homolog"	"Orthologous Makobe Island cichlid Genes"
"with_aplatyrhynchos_homolog"	"Orthologous Mallard Genes"
"with_cjacchus_homolog"	"Orthologous Marmoset Genes"
"with_pvampyrus_homolog"	"Orthologous Megabat Genes"
"with_amexicanus_homolog"	"Orthologous Mexican tetra Genes"
"with_mlucifugus_homolog"	"Orthologous Microbat Genes"
"with_acitrinellus_homolog"	"Orthologous Midas cichlid Genes"
"with_munguiculatus_homolog"	"Orthologous Mongolian gerbil Genes"
"with_mmusculus_homolog"	"Orthologous Mouse Genes"
"with_mmurinus_homolog"	"Orthologous Mouse Lemur Genes"
"with_fheteroclitus_homolog"	"Orthologous Mummichog Genes"
"with_hgfemale_homolog"	"Orthologous Naked mole-rat female Genes"
"with_hgmale_homolog"	"Orthologous Naked mole-rat male Genes"
"with_oniloticus_homolog"	"Orthologous Nile tilapia Genes"
"with_pmbairdii_homolog"	"Orthologous Northern American deer mouse Genes"
"with_elucius_homolog"	"Orthologous Northern pike Genes"
"with_panubis_homolog"	"Orthologous Olive baboon Genes"
"with_mdomestica_homolog"	"Orthologous Opossum Genes"
"with_pabelii_homolog"	"Orthologous Orangutan Genes"
"with_sorbicularis_homolog"	"Orthologous Orbiculate cardinalfish Genes"
"with_ampachon_homolog"	"Orthologous Pachon cavefish Genes"
"with_cpbellii_homolog"	"Orthologous Painted turtle Genes"
"with_amelanoleuca_homolog"	"Orthologous Panda Genes"
"with_sscrofa_homolog"	"Orthologous Pig Genes"
"with_mnemestrina_homolog"	"Orthologous Pig-tailed macaque Genes"
"with_oprinceps_homolog"	"Orthologous Pika Genes"
"with_mmurdjan_homolog"	"Orthologous Pinecone soldierfish Genes"
"with_oanatinus_homolog"	"Orthologous Platypus Genes"
"with_umaritimus_homolog"	"Orthologous Polar bear Genes"
"with_mochrogaster_homolog"	"Orthologous Prairie vole Genes"
"with_ocuniculus_homolog"	"Orthologous Rabbit Genes"
"with_omykiss_homolog"	"Orthologous Rainbow trout Genes"
"with_rnorvegicus_homolog"	"Orthologous Rat Genes"
"with_vvulpes_homolog"	"Orthologous Red fox Genes"
"with_pnattereri_homolog"	"Orthologous Red-bellied piranha Genes"
"with_ecalabaricus_homolog"	"Orthologous Reedfish Genes"
"with_mcaroli_homolog"	"Orthologous Ryukyu mouse Genes"
"with_scerevisiae_homolog"	"Orthologous Saccharomyces cerevisiae Genes"
"with_platipinna_homolog"	"Orthologous Sailfin molly Genes"
"with_oaries_homolog"	"Orthologous Sheep (texel) Genes"
"with_cvariegatus_homolog"	"Orthologous Sheepshead minnow Genes"
"with_pmexicana_homolog"	"Orthologous Shortfin molly Genes"
"with_saraneus_homolog"	"Orthologous Shrew Genes"
"with_mpahari_homolog"	"Orthologous Shrew mouse Genes"
"with_bsplendens_homolog"	"Orthologous Siamese fighting fish Genes"
"with_choffmanni_homolog"	"Orthologous Sloth Genes"
"with_catys_homolog"	"Orthologous Sooty mangabey Genes"
"with_loculatus_homolog"	"Orthologous Spotted gar Genes"
"with_itridecemlineatus_homolog"	"Orthologous Squirrel Genes"
"with_mspicilegus_homolog"	"Orthologous Steppe mouse Genes"
"with_gaculeatus_homolog"	"Orthologous Stickleback Genes"
"with_malbus_homolog"	"Orthologous Swamp eel Genes"
"with_csyrichta_homolog"	"Orthologous Tarsier Genes"
"with_sharrisii_homolog"	"Orthologous Tasmanian devil Genes"
"with_tnigroviridis_homolog"	"Orthologous Tetraodon Genes"
"with_ptaltaica_homolog"	"Orthologous Tiger Genes"
"with_hcomes_homolog"	"Orthologous Tiger tail seahorse Genes"
"with_csemilaevis_homolog"	"Orthologous Tongue sole Genes"
"with_tbelangeri_homolog"	"Orthologous Tree Shrew Genes"
"with_xtropicalis_homolog"	"Orthologous Tropical clawed frog Genes"
"with_spunctatus_homolog"	"Orthologous Tuatara Genes"
"with_smaximus_homolog"	"Orthologous Turbot Genes"
"with_mgallopavo_homolog"	"Orthologous Turkey Genes"
"with_ptephrosceles_homolog"	"Orthologous Ugandan red Colobus Genes"
"with_ngalili_homolog"	"Orthologous Upper Galilee mountains blind mole rat Genes"
"with_csabaeus_homolog"	"Orthologous Vervet-AGM Genes"
"with_neugenii_homolog"	"Orthologous Wallaby Genes"
"with_bmutus_homolog"	"Orthologous Wild yak Genes"
"with_sldorsalis_homolog"	"Orthologous Yellowtail amberjack Genes"
"with_tguttata_homolog"	"Orthologous Zebra finch Genes"
"with_mzebra_homolog"	"Orthologous Zebra mbuna Genes"
"with_drerio_homolog"	"Orthologous Zebrafish Genes"
"with_marmatus_homolog"	"Orthologous Zig-zag eel Genes"
"with_interpro"	"With Interpro ID(s)"
"with_cdd"	"With CDD ID(s)"
"with_gene3d"	"With Gene3D ID(s)"
"with_hamap"	"With HAMAP ID(s)"
"with_mobidblite"	"With MobiDB lite"
"with_ncoils"	"With Coiled-coils (Ncoils)"
"with_hmmpanther"	"With PANTHER ID(s)"
"with_pfam"	"With Pfam ID(s)"
"with_pirsf"	"With PIRSF ID(s)"
"with_prints"	"With Prints ID(s)"
"with_scanprosite"	"With PROSITE patterns ID(s)"
"with_pfscan"	"With PROSITE profiles ID(s)"
"with_seg"	"With Low complexity (Seg)"
"with_sfld"	"With SFLD ID(s)"
"with_sifts_import"	"With PDB-ENSP mappings"
"with_signalp"	"With Cleavage site (Signalp)"
"with_smart"	"With SMART ID(s)"
"with_superfamily"	"With Superfamily ID(s)"
"with_tigrfam"	"With TIGRFAM ID(s)"
"with_tmhmm"	"With Transmembrane helices"
"interpro"	"Interpro ID(s) [e.g. IPR000001]"
"cdd"	"CDD ID(s) [e.g. cd00009]"
"gene3d"	"Gene3D ID(s) [e.g. 1.10.10.10]"
"hamap"	"HAMAP ID(s) [e.g. MF_00001]"
