"name"	"description"	"page"
"117"	"affy_huex_1_0_st_v2"	"AFFY HuEx 1 0 st v2 probe"	"feature_page"
"118"	"affy_hugenefl"	"AFFY HuGeneFL probe"	"feature_page"
"119"	"affy_hugene_1_0_st_v1"	"AFFY HuGene 1 0 st v1 probe"	"feature_page"
"120"	"affy_hugene_2_0_st_v1"	"AFFY HuGene 2 0 st v1 probe"	"feature_page"
"121"	"affy_primeview"	"AFFY PrimeView probe"	"feature_page"
"122"	"affy_u133_x3p"	"AFFY U133 X3P probe"	"feature_page"
"123"	"agilent_cgh_44b"	"AGILENT CGH 44b probe"	"feature_page"
"124"	"agilent_gpl6848"	"AGILENT GPL6848 probe"	"feature_page"
"125"	"agilent_sureprint_g3_ge_8x60k"	"AGILENT SurePrint G3 GE 8x60k probe"	"feature_page"
"126"	"agilent_sureprint_g3_ge_8x60k_v2"	"AGILENT SurePrint G3 GE 8x60k v2 probe"	"feature_page"
"127"	"agilent_wholegenome"	"AGILENT WholeGenome probe"	"feature_page"
"128"	"agilent_wholegenome_4x44k_v1"	"AGILENT WholeGenome 4x44k v1 probe"	"feature_page"
"129"	"agilent_wholegenome_4x44k_v2"	"AGILENT WholeGenome 4x44k v2 probe"	"feature_page"
"130"	"codelink_codelink"	"CODELINK CODELINK probe"	"feature_page"
"131"	"illumina_humanht_12_v3"	"ILLUMINA HumanHT 12 V3 probe"	"feature_page"
"132"	"illumina_humanht_12_v4"	"ILLUMINA HumanHT 12 V4 probe"	"feature_page"
"133"	"illumina_humanref_8_v3"	"ILLUMINA HumanRef 8 V3 probe"	"feature_page"
"134"	"illumina_humanwg_6_v1"	"ILLUMINA HumanWG 6 V1 probe"	"feature_page"
"135"	"illumina_humanwg_6_v2"	"ILLUMINA HumanWG 6 V2 probe"	"feature_page"
"136"	"illumina_humanwg_6_v3"	"ILLUMINA HumanWG 6 V3 probe"	"feature_page"
"137"	"phalanx_onearray"	"PHALANX OneArray probe"	"feature_page"
"138"	"cdd"	"CDD ID"	"feature_page"
"139"	"cdd_start"	"CDD start"	"feature_page"
"140"	"cdd_end"	"CDD end"	"feature_page"
"141"	"gene3d"	"Gene3D ID"	"feature_page"
"142"	"gene3d_start"	"Gene3D start"	"feature_page"
"143"	"gene3d_end"	"Gene3D end"	"feature_page"
"144"	"hamap"	"HAMAP ID"	"feature_page"
"145"	"hamap_start"	"HAMAP start"	"feature_page"
"146"	"hamap_end"	"HAMAP end"	"feature_page"
"147"	"hmmpanther"	"PANTHER ID"	"feature_page"
"148"	"hmmpanther_start"	"PANTHER start"	"feature_page"
"149"	"hmmpanther_end"	"PANTHER end"	"feature_page"
"150"	"pfam"	"Pfam ID"	"feature_page"
"151"	"pfam_start"	"Pfam start"	"feature_page"
"152"	"pfam_end"	"Pfam end"	"feature_page"
"153"	"pirsf"	"PIRSF ID"	"feature_page"
"154"	"pirsf_start"	"PIRSF start"	"feature_page"
"155"	"pirsf_end"	"PIRSF end"	"feature_page"
"156"	"prints"	"Prints ID"	"feature_page"
"157"	"prints_start"	"Prints start"	"feature_page"
"158"	"prints_end"	"Prints end"	"feature_page"
"159"	"scanprosite"	"PROSITE patterns ID"	"feature_page"
"160"	"scanprosite_start"	"PROSITE patterns start"	"feature_page"
"161"	"scanprosite_end"	"PROSITE patterns end"	"feature_page"
"162"	"pfscan"	"PROSITE profiles ID"	"feature_page"
"163"	"pfscan_start"	"PROSITE profiles start"	"feature_page"
"164"	"pfscan_end"	"PROSITE profiles end"	"feature_page"
"165"	"sfld"	"SFLD ID"	"feature_page"
"166"	"sfld_start"	"SFLD start"	"feature_page"
"167"	"sfld_end"	"SFLD end"	"feature_page"
"168"	"smart"	"SMART ID"	"feature_page"
"169"	"smart_start"	"SMART start"	"feature_page"
"170"	"smart_end"	"SMART end"	"feature_page"
"171"	"superfamily"	"Superfamily ID"	"feature_page"
"172"	"superfamily_start"	"Superfamily start"	"feature_page"
"173"	"superfamily_end"	"Superfamily end"	"feature_page"
"174"	"tigrfam"	"TIGRFAM ID"	"feature_page"
"175"	"tigrfam_start"	"TIGRFAM start"	"feature_page"
"176"	"tigrfam_end"	"TIGRFAM end"	"feature_page"
"177"	"interpro"	"Interpro ID"	"feature_page"
"178"	"interpro_short_description"	"Interpro Short Description"	"feature_page"
"179"	"interpro_description"	"Interpro Description"	"feature_page"
"180"	"interpro_start"	"Interpro start"	"feature_page"
"181"	"interpro_end"	"Interpro end"	"feature_page"
"182"	"mobidblite"	"MobiDB lite"	"feature_page"
"183"	"mobidblite_start"	"MobiDB lite start"	"feature_page"
"184"	"mobidblite_end"	"MobiDB lite end"	"feature_page"
"185"	"ncoils"	"Coiled-coils (Ncoils)"	"feature_page"
"186"	"ncoils_start"	"Coiled-coils (Ncoils) start"	"feature_page"
"187"	"ncoils_end"	"Coiled-coils (Ncoils) end"	"feature_page"
"188"	"seg"	"Low complexity (Seg)"	"feature_page"
"189"	"seg_start"	"Low complexity (Seg) start"	"feature_page"
"190"	"seg_end"	"Low complexity (Seg) end"	"feature_page"
"191"	"sifts_import"	"PDB-ENSP mappings"	"feature_page"
"192"	"sifts_import_start"	"PDB-ENSP mappings start"	"feature_page"
"193"	"sifts_import_end"	"PDB-ENSP mappings end"	"feature_page"
"194"	"signalp"	"Cleavage site (Signalp)"	"feature_page"
"195"	"signalp_start"	"Cleavage site (Signalp) start"	"feature_page"
"196"	"signalp_end"	"Cleavage site (Signalp) end"	"feature_page"
"197"	"tmhmm"	"Transmembrane helices"	"feature_page"
"198"	"tmhmm_start"	"Transmembrane helices start"	"feature_page"
"199"	"tmhmm_end"	"Transmembrane helices end"	"feature_page"
"200"	"ensembl_gene_id"	"Gene stable ID"	"structure"
"201"	"ensembl_gene_id_version"	"Gene stable ID version"	"structure"
"202"	"version"	"Version (gene)"	"structure"
"203"	"ensembl_transcript_id"	"Transcript stable ID"	"structure"
"204"	"ensembl_transcript_id_version"	"Transcript stable ID version"	"structure"
"205"	"transcript_version"	"Version (transcript)"	"structure"
"206"	"ensembl_peptide_id"	"Protein stable ID"	"structure"
"207"	"ensembl_peptide_id_version"	"Protein stable ID version"	"structure"
"208"	"peptide_version"	"Version (protein)"	"structure"
"209"	"chromosome_name"	"Chromosome/scaffold name"	"structure"
"210"	"start_position"	"Gene start (bp)"	"structure"
"211"	"end_position"	"Gene end (bp)"	"structure"
"212"	"transcript_start"	"Transcript start (bp)"	"structure"
"213"	"transcript_end"	"Transcript end (bp)"	"structure"
"214"	"transcription_start_site"	"Transcription start site (TSS)"	"structure"
"215"	"transcript_length"	"Transcript length (including UTRs and CDS)"	"structure"
"216"	"strand"	"Strand"	"structure"
"217"	"external_gene_name"	"Gene name"	"structure"
"218"	"external_gene_source"	"Source of gene name"	"structure"
"219"	"5_utr_start"	"5' UTR start"	"structure"
"220"	"5_utr_end"	"5' UTR end"	"structure"
"221"	"3_utr_start"	"3' UTR start"	"structure"
"222"	"3_utr_end"	"3' UTR end"	"structure"
"223"	"cds_length"	"CDS Length"	"structure"
"224"	"transcript_count"	"Transcript count"	"structure"
"225"	"description"	"Gene description"	"structure"
"226"	"gene_biotype"	"Gene type"	"structure"
"227"	"exon_chrom_start"	"Exon region start (bp)"	"structure"
"228"	"exon_chrom_end"	"Exon region end (bp)"	"structure"
"229"	"is_constitutive"	"Constitutive exon"	"structure"
"230"	"rank"	"Exon rank in transcript"	"structure"
"231"	"phase"	"Start phase"	"structure"
"232"	"end_phase"	"End phase"	"structure"
"233"	"cdna_coding_start"	"cDNA coding start"	"structure"
"234"	"cdna_coding_end"	"cDNA coding end"	"structure"
"235"	"genomic_coding_start"	"Genomic coding start"	"structure"
"236"	"genomic_coding_end"	"Genomic coding end"	"structure"
"237"	"ensembl_exon_id"	"Exon stable ID"	"structure"
"238"	"cds_start"	"CDS start"	"structure"
"239"	"cds_end"	"CDS end"	"structure"
"240"	"ensembl_gene_id"	"Gene stable ID"	"homologs"
"241"	"ensembl_gene_id_version"	"Gene stable ID version"	"homologs"
"242"	"version"	"Version (gene)"	"homologs"
"243"	"ensembl_transcript_id"	"Transcript stable ID"	"homologs"
"244"	"ensembl_transcript_id_version"	"Transcript stable ID version"	"homologs"
"245"	"transcript_version"	"Version (transcript)"	"homologs"
"246"	"ensembl_peptide_id"	"Protein stable ID"	"homologs"
"247"	"ensembl_peptide_id_version"	"Protein stable ID version"	"homologs"
"248"	"peptide_version"	"Version (protein)"	"homologs"
"249"	"chromosome_name"	"Chromosome/scaffold name"	"homologs"
"250"	"start_position"	"Gene start (bp)"	"homologs"
"251"	"end_position"	"Gene end (bp)"	"homologs"
"252"	"strand"	"Strand"	"homologs"
"253"	"band"	"Karyotype band"	"homologs"
"254"	"external_gene_name"	"Gene name"	"homologs"
"255"	"external_gene_source"	"Source of gene name"	"homologs"
"256"	"transcript_count"	"Transcript count"	"homologs"
"257"	"percentage_gene_gc_content"	"Gene % GC content"	"homologs"
"258"	"description"	"Gene description"	"homologs"
"259"	"cabingdonii_homolog_ensembl_gene"	"Abingdon island giant tortoise gene stable ID"	"homologs"
"260"	"cabingdonii_homolog_associated_gene_name"	"Abingdon island giant tortoise gene name"	"homologs"
"261"	"cabingdonii_homolog_ensembl_peptide"	"Abingdon island giant tortoise protein or transcript stable ID"	"homologs"
"262"	"cabingdonii_homolog_chromosome"	"Abingdon island giant tortoise chromosome/scaffold name"	"homologs"
"263"	"cabingdonii_homolog_chrom_start"	"Abingdon island giant tortoise chromosome/scaffold start (bp)"	"homologs"
"264"	"cabingdonii_homolog_chrom_end"	"Abingdon island giant tortoise chromosome/scaffold end (bp)"	"homologs"
"265"	"cabingdonii_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"266"	"cabingdonii_homolog_subtype"	"Last common ancestor with Abingdon island giant tortoise"	"homologs"
"267"	"cabingdonii_homolog_orthology_type"	"Abingdon island giant tortoise homology type"	"homologs"
"268"	"cabingdonii_homolog_perc_id"	"%id. target Abingdon island giant tortoise gene identical to query gene"	"homologs"
"269"	"cabingdonii_homolog_perc_id_r1"	"%id. query gene identical to target Abingdon island giant tortoise gene"	"homologs"
"270"	"cabingdonii_homolog_goc_score"	"Abingdon island giant tortoise Gene-order conservation score"	"homologs"
"271"	"cabingdonii_homolog_wga_coverage"	"Abingdon island giant tortoise Whole-genome alignment coverage"	"homologs"
"272"	"cabingdonii_homolog_orthology_confidence"	"Abingdon island giant tortoise orthology confidence [0 low, 1 high]"	"homologs"
"273"	"gagassizii_homolog_ensembl_gene"	"Agassiz's desert tortoise gene stable ID"	"homologs"
"274"	"gagassizii_homolog_associated_gene_name"	"Agassiz's desert tortoise gene name"	"homologs"
"275"	"gagassizii_homolog_ensembl_peptide"	"Agassiz's desert tortoise protein or transcript stable ID"	"homologs"
"276"	"gagassizii_homolog_chromosome"	"Agassiz's desert tortoise chromosome/scaffold name"	"homologs"
"277"	"gagassizii_homolog_chrom_start"	"Agassiz's desert tortoise chromosome/scaffold start (bp)"	"homologs"
"278"	"gagassizii_homolog_chrom_end"	"Agassiz's desert tortoise chromosome/scaffold end (bp)"	"homologs"
"279"	"gagassizii_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"280"	"gagassizii_homolog_subtype"	"Last common ancestor with Agassiz's desert tortoise"	"homologs"
"281"	"gagassizii_homolog_orthology_type"	"Agassiz's desert tortoise homology type"	"homologs"
"282"	"gagassizii_homolog_perc_id"	"%id. target Agassiz's desert tortoise gene identical to query gene"	"homologs"
"283"	"gagassizii_homolog_perc_id_r1"	"%id. query gene identical to target Agassiz's desert tortoise gene"	"homologs"
"284"	"gagassizii_homolog_goc_score"	"Agassiz's desert tortoise Gene-order conservation score"	"homologs"
"285"	"gagassizii_homolog_wga_coverage"	"Agassiz's desert tortoise Whole-genome alignment coverage"	"homologs"
"286"	"gagassizii_homolog_orthology_confidence"	"Agassiz's desert tortoise orthology confidence [0 low, 1 high]"	"homologs"
"287"	"mspretus_homolog_ensembl_gene"	"Algerian mouse gene stable ID"	"homologs"
"288"	"mspretus_homolog_associated_gene_name"	"Algerian mouse gene name"	"homologs"
"289"	"mspretus_homolog_ensembl_peptide"	"Algerian mouse protein or transcript stable ID"	"homologs"
"290"	"mspretus_homolog_chromosome"	"Algerian mouse chromosome/scaffold name"	"homologs"
"291"	"mspretus_homolog_chrom_start"	"Algerian mouse chromosome/scaffold start (bp)"	"homologs"
"292"	"mspretus_homolog_chrom_end"	"Algerian mouse chromosome/scaffold end (bp)"	"homologs"
"293"	"mspretus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"294"	"mspretus_homolog_subtype"	"Last common ancestor with Algerian mouse"	"homologs"
"295"	"mspretus_homolog_orthology_type"	"Algerian mouse homology type"	"homologs"
"296"	"mspretus_homolog_perc_id"	"%id. target Algerian mouse gene identical to query gene"	"homologs"
"297"	"mspretus_homolog_perc_id_r1"	"%id. query gene identical to target Algerian mouse gene"	"homologs"
"298"	"mspretus_homolog_goc_score"	"Algerian mouse Gene-order conservation score"	"homologs"
"299"	"mspretus_homolog_wga_coverage"	"Algerian mouse Whole-genome alignment coverage"	"homologs"
"300"	"mspretus_homolog_orthology_confidence"	"Algerian mouse orthology confidence [0 low, 1 high]"	"homologs"
"301"	"vpacos_homolog_ensembl_gene"	"Alpaca gene stable ID"	"homologs"
"302"	"vpacos_homolog_associated_gene_name"	"Alpaca gene name"	"homologs"
"303"	"vpacos_homolog_ensembl_peptide"	"Alpaca protein or transcript stable ID"	"homologs"
"304"	"vpacos_homolog_chromosome"	"Alpaca chromosome/scaffold name"	"homologs"
"305"	"vpacos_homolog_chrom_start"	"Alpaca chromosome/scaffold start (bp)"	"homologs"
"306"	"vpacos_homolog_chrom_end"	"Alpaca chromosome/scaffold end (bp)"	"homologs"
"307"	"vpacos_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"308"	"vpacos_homolog_subtype"	"Last common ancestor with Alpaca"	"homologs"
"309"	"vpacos_homolog_orthology_type"	"Alpaca homology type"	"homologs"
"310"	"vpacos_homolog_perc_id"	"%id. target Alpaca gene identical to query gene"	"homologs"
"311"	"vpacos_homolog_perc_id_r1"	"%id. query gene identical to target Alpaca gene"	"homologs"
"312"	"vpacos_homolog_goc_score"	"Alpaca Gene-order conservation score"	"homologs"
"313"	"vpacos_homolog_wga_coverage"	"Alpaca Whole-genome alignment coverage"	"homologs"
"314"	"vpacos_homolog_orthology_confidence"	"Alpaca orthology confidence [0 low, 1 high]"	"homologs"
"315"	"mmmarmota_homolog_ensembl_gene"	"Alpine marmot gene stable ID"	"homologs"
"316"	"mmmarmota_homolog_associated_gene_name"	"Alpine marmot gene name"	"homologs"
"317"	"mmmarmota_homolog_ensembl_peptide"	"Alpine marmot protein or transcript stable ID"	"homologs"
"318"	"mmmarmota_homolog_chromosome"	"Alpine marmot chromosome/scaffold name"	"homologs"
"319"	"mmmarmota_homolog_chrom_start"	"Alpine marmot chromosome/scaffold start (bp)"	"homologs"
"320"	"mmmarmota_homolog_chrom_end"	"Alpine marmot chromosome/scaffold end (bp)"	"homologs"
"321"	"mmmarmota_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"322"	"mmmarmota_homolog_subtype"	"Last common ancestor with Alpine marmot"	"homologs"
"323"	"mmmarmota_homolog_orthology_type"	"Alpine marmot homology type"	"homologs"
"324"	"mmmarmota_homolog_perc_id"	"%id. target Alpine marmot gene identical to query gene"	"homologs"
"325"	"mmmarmota_homolog_perc_id_r1"	"%id. query gene identical to target Alpine marmot gene"	"homologs"
"326"	"mmmarmota_homolog_goc_score"	"Alpine marmot Gene-order conservation score"	"homologs"
"327"	"mmmarmota_homolog_wga_coverage"	"Alpine marmot Whole-genome alignment coverage"	"homologs"
"328"	"mmmarmota_homolog_orthology_confidence"	"Alpine marmot orthology confidence [0 low, 1 high]"	"homologs"
"329"	"pformosa_homolog_ensembl_gene"	"Amazon molly gene stable ID"	"homologs"
"330"	"pformosa_homolog_associated_gene_name"	"Amazon molly gene name"	"homologs"
"331"	"pformosa_homolog_ensembl_peptide"	"Amazon molly protein or transcript stable ID"	"homologs"
"332"	"pformosa_homolog_chromosome"	"Amazon molly chromosome/scaffold name"	"homologs"
"333"	"pformosa_homolog_chrom_start"	"Amazon molly chromosome/scaffold start (bp)"	"homologs"
"334"	"pformosa_homolog_chrom_end"	"Amazon molly chromosome/scaffold end (bp)"	"homologs"
"335"	"pformosa_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"336"	"pformosa_homolog_subtype"	"Last common ancestor with Amazon molly"	"homologs"
"337"	"pformosa_homolog_orthology_type"	"Amazon molly homology type"	"homologs"
"338"	"pformosa_homolog_perc_id"	"%id. target Amazon molly gene identical to query gene"	"homologs"
"339"	"pformosa_homolog_perc_id_r1"	"%id. query gene identical to target Amazon molly gene"	"homologs"
"340"	"pformosa_homolog_goc_score"	"Amazon molly Gene-order conservation score"	"homologs"
"341"	"pformosa_homolog_wga_coverage"	"Amazon molly Whole-genome alignment coverage"	"homologs"
"342"	"pformosa_homolog_orthology_confidence"	"Amazon molly orthology confidence [0 low, 1 high]"	"homologs"
"343"	"ccanadensis_homolog_ensembl_gene"	"American beaver gene stable ID"	"homologs"
"344"	"ccanadensis_homolog_associated_gene_name"	"American beaver gene name"	"homologs"
"345"	"ccanadensis_homolog_ensembl_peptide"	"American beaver protein or transcript stable ID"	"homologs"
"346"	"ccanadensis_homolog_chromosome"	"American beaver chromosome/scaffold name"	"homologs"
"347"	"ccanadensis_homolog_chrom_start"	"American beaver chromosome/scaffold start (bp)"	"homologs"
"348"	"ccanadensis_homolog_chrom_end"	"American beaver chromosome/scaffold end (bp)"	"homologs"
"349"	"ccanadensis_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"350"	"ccanadensis_homolog_subtype"	"Last common ancestor with American beaver"	"homologs"
"351"	"ccanadensis_homolog_orthology_type"	"American beaver homology type"	"homologs"
"352"	"ccanadensis_homolog_perc_id"	"%id. target American beaver gene identical to query gene"	"homologs"
"353"	"ccanadensis_homolog_perc_id_r1"	"%id. query gene identical to target American beaver gene"	"homologs"
"354"	"ccanadensis_homolog_goc_score"	"American beaver Gene-order conservation score"	"homologs"
"355"	"ccanadensis_homolog_wga_coverage"	"American beaver Whole-genome alignment coverage"	"homologs"
"356"	"ccanadensis_homolog_orthology_confidence"	"American beaver orthology confidence [0 low, 1 high]"	"homologs"
"357"	"bbbison_homolog_ensembl_gene"	"American bison gene stable ID"	"homologs"
"358"	"bbbison_homolog_associated_gene_name"	"American bison gene name"	"homologs"
"359"	"bbbison_homolog_ensembl_peptide"	"American bison protein or transcript stable ID"	"homologs"
"360"	"bbbison_homolog_chromosome"	"American bison chromosome/scaffold name"	"homologs"
"361"	"bbbison_homolog_chrom_start"	"American bison chromosome/scaffold start (bp)"	"homologs"
"362"	"bbbison_homolog_chrom_end"	"American bison chromosome/scaffold end (bp)"	"homologs"
"363"	"bbbison_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"364"	"bbbison_homolog_subtype"	"Last common ancestor with American bison"	"homologs"
"365"	"bbbison_homolog_orthology_type"	"American bison homology type"	"homologs"
"366"	"bbbison_homolog_perc_id"	"%id. target American bison gene identical to query gene"	"homologs"
"367"	"bbbison_homolog_perc_id_r1"	"%id. query gene identical to target American bison gene"	"homologs"
"368"	"bbbison_homolog_goc_score"	"American bison Gene-order conservation score"	"homologs"
"369"	"bbbison_homolog_wga_coverage"	"American bison Whole-genome alignment coverage"	"homologs"
"370"	"bbbison_homolog_orthology_confidence"	"American bison orthology confidence [0 low, 1 high]"	"homologs"
"371"	"uamericanus_homolog_ensembl_gene"	"American black bear gene stable ID"	"homologs"
"372"	"uamericanus_homolog_associated_gene_name"	"American black bear gene name"	"homologs"
"373"	"uamericanus_homolog_ensembl_peptide"	"American black bear protein or transcript stable ID"	"homologs"
"374"	"uamericanus_homolog_chromosome"	"American black bear chromosome/scaffold name"	"homologs"
